,Photo Date,Photo ID ,Photographed By,Date Plated,Plated By,"Date of Trial
 (Monday)",Set ID,strain,Week Number,Replicate Number,# flies,Sex,"
Plate Type (Treatment (T), Control (C), Grow out Treatment (GoT), Baseline (B))","Dilution         (10-2, 10-3, 10-4, 10-5)",Green Count,Red Count,Total CFU on Plate,count type (digital or analog),Counted By,Recorded By (Notebook),Recorded By (Computer),total consumption (24 hours mm),total consumption (48 hours mm),Total Consumption ,red means (spore or vegetative),green means  (spore or vegetative),green survival,red survival,Notes
1,2/20/18,175 5439,,10/6/17,,,,WE,11,132,,,B,10-3,6,3,9,,FW,KL,FW,,,,spore,vegetative,,,
3,2/20/18,175 5440,,10/6/17,,,,WE,11,132,,,B,10-4,0,1,1,,FW,KL,FW,,,,spore,vegetative,,,
5,2/20/18,175 5441,,10/6/17,,,,WE,11,132,,,B,10-5,0,0,0,,FW,KL,FW,,,,spore,vegetative,,,
7,2/20/18,175 5442,,10/6/17,,,,WA,11,143,,,B,10-3,0,4,4,,FW,KL,FW,,,,spore,vegetative,,,
9,2/20/18,175 5443,,10/6/17,,,,WA,11,143,,,B,10-4,2,0,2,,FW,KL,FW,,,,spore,vegetative,,,
11,2/20/18,175 5444,,10/6/17,,,,WA,11,143,,,B,10-5,0,0,0,,FW,KL,FW,,,,spore,vegetative,,,
13,2/20/18,175 5445,,10/6/17,,,,JS,11,152,,,B,10-3,104,0,104,,FW,KL,FW,,,,spore,vegetative,,,
15,2/20/18,175 5446,,10/6/17,,,,JS,11,152,,,B,10-4,5,0,5,,FW,KL,FW,,,,spore,vegetative,,,
17,2/20/18,175 5447,,10/6/17,,,,JS,11,152,,,B,10-5,4,0,4,,FW,KL,FW,,,,spore,vegetative,,,
19,2/20/18,175 5448,,10/6/17,,,,MY,11,171,,,B,10-3,69,1,70,,FW,KL,FW,,,,spore,vegetative,,,
21,2/20/18,175 5449,,10/6/17,,,,MY,11,171,,,B,10-4,0,14,14,,FW,KL,FW,,,,spore,vegetative,,,
23,2/20/18,175 5450,,10/6/17,,,,MY,11,171,,,B,10-5,0,0,0,,FW,KL,FW,,,,spore,vegetative,,,
25,2/20/18,175 5451,,10/6/17,,,,,11,176,,,B,10-3,0,30,30,,FW,KL,FW,,,,spore,vegetative,,,
27,2/20/18,175 5452,,10/6/17,,,,,11,176,,,B,10-4,0,7,7,,FW,KL,FW,,,,spore,vegetative,,,
29,2/20/18,175 5453,,10/6/17,,,,,11,176,,,B,10-5,0,0,0,,FW,KL,FW,,,,spore,vegetative,,,contaminated
31,11/28/17,171 5047,KL,10/23/17,,,,WE,11,1,,F,T,10-2,6,3,9,,JC,FW,FW,,,0.0,spore,vegetative,,,contaminated
33,11/28/17,171 5048,KL,10/23/17,,,,WE,11,1,,F,T,10-3,13,108,121,,JC,FW,FW,,,0.0,spore,vegetative,,,contaminated
35,11/28/17,171 5049,KL,10/23/17,,,,WE,11,1,,F,T,10-4,1,0,1,,JC,FW,FW,,,0.0,spore,vegetative,,,contaminated
37,11/28/17,171 5050,KL,10/23/17,,,,WE,11,2,,F,T,10-2,6,5,11,,JC,FW,FW,,,0.0,spore,vegetative,,,contaminated
39,11/28/17,171 5051,KL,10/23/17,,,,WE,11,2,,F,T,10-3,3,0,3,,JC,FW,FW,,,0.0,spore,vegetative,,,contaminated
41,11/28/17,171 5052,KL,10/23/17,,,,WE,11,2,,F,T,10-4,0,0,0,,JC,FW,FW,,,0.0,spore,vegetative,,,contaminated
43,11/28/17,171 5055,KL,10/23/17,,,,WE,11,3,,F,T,10-2,0,61,61,,JC,FW,FW,,,0.0,spore,vegetative,,,
45,11/28/17,171 5057,KL,10/23/17,,,,WE,11,3,,F,T,10-3,0,4,4,,JC,FW,FW,,,0.0,spore,vegetative,,,
47,11/28/17,171 5058,KL,10/23/17,,,,WE,11,3,,F,T,10-4,0,1,1,,JC,FW,FW,,,0.0,spore,vegetative,,,
49,2/15/18,174 5207,,10/23/17,,,,WE,11,4,,F,T,10-2,2,22,24,,UR,CK,FW,,,0.0,spore,vegetative,,,contaminated
51,2/15/18,174 5208,,10/23/17,,,,WE,11,4,,F,T,10-3,1,0,1,,UR,CK,FW,,,0.0,spore,vegetative,,,
53,2/15/18,174 5209,,10/23/17,,,,WE,11,4,,F,T,10-4,0,1,1,,UR,CK,FW,,,0.0,spore,vegetative,,,
55,2/15/18,174 5210,,10/23/17,,,,WE,11,5,,F,T,10-2,1,233,234,,UR,CK,FW,,,0.0,spore,vegetative,,,
57,2/15/18,174 5211,,10/23/17,,,,WE,11,5,,F,T,10-3,25,3,28,,UR,CK,FW,,,0.0,spore,vegetative,,,contaminated
59,2/15/18,174 5212,,10/23/17,,,,WE,11,5,,F,T,10-4,1,53,54,,UR,CK,FW,,,0.0,spore,vegetative,,,contaminated
61,2/15/18,174 5213,,10/23/17,,,,WE,11,6,,F,T,10-2,0,21,21,,UR,CK,FW,,,0.0,spore,vegetative,,,
63,2/15/18,174 5214,,10/23/17,,,,WE,11,6,,F,T,10-3,0,0,0,,UR,CK,FW,,,0.0,spore,vegetative,,,contaminated
65,2/15/18,174 5215,,10/23/17,,,,WE,11,6,,F,T,10-4,0,0,0,,UR,CK,FW,,,0.0,spore,vegetative,,,
67,2/15/18,174 5231,,10/23/17,,,,WE,11,1,,M,T,10-2,3,7,10,,UR,CK,FW,,,0.0,spore,vegetative,,,
69,2/15/18,174 5232,,10/23/17,,,,WE,11,1,,M,T,10-3,2,0,2,,UR,CK,FW,,,0.0,spore,vegetative,,,
71,2/15/18,174 5233,,10/23/17,,,,WE,11,1,,M,T,10-4,0,0,0,,UR,CK,FW,,,0.0,spore,vegetative,,,
73,2/15/18,174 5228,,10/23/17,,,,WE,11,2,,M,T,10-2,0,0,0,,UR,CK,FW,,,0.0,spore,vegetative,,,
75,2/15/18,174 5229,,10/23/17,,,,WE,11,2,,M,T,10-3,0,0,0,,UR,CK,FW,,,0.0,spore,vegetative,,,
77,2/15/18,174 5230,,10/23/17,,,,WE,11,2,,M,T,10-4,0,0,0,,UR,CK,FW,,,0.0,spore,vegetative,,,
79,2/15/18,174 5225,,10/23/17,,,,WE,11,3,,M,T,10-2,80,6,86,,UR,CK,FW,,,0.0,spore,vegetative,,,
81,2/15/18,174 5226,,10/23/17,,,,WE,11,3,,M,T,10-3,10,22,32,,UR,CK,FW,,,0.0,spore,vegetative,,,
83,2/15/18,174 5227,,10/23/17,,,,WE,11,3,,M,T,10-4,5,2,7,,UR,CK,FW,,,0.0,spore,vegetative,,,
85,2/22/18,176 5492,,10/23/17,,,,WE,11,4,,M,T,10-2,NC,NC,#VALUE!,,KL,FW,FW,,,0.0,spore,vegetative,,,contaminated
87,2/22/18,176 5493,,10/23/17,,,,WE,11,4,,M,T,10-3,0,17,17,,KL,FW,FW,,,0.0,spore,vegetative,,,contaminated
89,2/22/18,176 5494,,10/23/17,,,,WE,11,4,,M,T,10-4,0,3,3,,KL,FW,FW,,,0.0,spore,vegetative,,,contaminated
91,2/22/18,176 5495,,10/23/17,,,,WE,11,5,,M,T,10-2,0,2,2,,KL,FW,FW,,,0.0,spore,vegetative,,,contaminated
93,2/22/18,176 5496,,10/23/17,,,,WE,11,5,,M,T,10-3,0,0,0,,KL,FW,FW,,,0.0,spore,vegetative,,,contaminated
95,2/22/18,176 5497,,10/23/17,,,,WE,11,5,,M,T,10-4,0,0,0,,KL,FW,FW,,,0.0,spore,vegetative,,,contaminated
97,2/22/18,176 5498,,10/23/17,,,,WE,11,6,,M,T,10-2,0,0,0,,KL,FW,FW,,,0.0,spore,vegetative,,,
99,2/22/18,176 5499,,10/23/17,,,,WE,11,6,,M,T,10-3,0,0,0,,KL,FW,FW,,,0.0,spore,vegetative,,,
101,2/22/18,176 5500,,10/23/17,,,,WE,11,6,,M,T,10-4,0,0,0,,KL,FW,FW,,,0.0,spore,vegetative,,,
103,11/28/17,171 5088,,10/23/17,,,,WA,11,1,,F,T,10-2,13,31,44,,JC,FW,FW,,,0.0,spore,vegetative,,,contaminted
105,11/28/17,171 5089,,10/23/17,,,,WA,11,1,,F,T,10-3,6,22,28,,JC,FW,FW,,,0.0,spore,vegetative,,,contaminted
107,11/28/17,171 5090,,10/23/17,,,,WA,11,1,,F,T,10-4,1,0,1,,JC,FW,FW,,,0.0,spore,vegetative,,,
109,11/28/17,171 5091,,10/23/17,,,,WA,11,2,,F,T,10-2,0,16,16,,JC,FW,FW,,,0.0,spore,vegetative,,,contaminted
111,11/28/17,171 5092,,10/23/17,,,,WA,11,2,,F,T,10-3,0,0,0,,JC,FW,FW,,,0.0,spore,vegetative,,,contaminted
113,11/28/17,171 5093,,10/23/17,,,,WA,11,2,,F,T,10-4,0,0,0,,JC,FW,FW,,,0.0,spore,vegetative,,,contaminted
115,11/28/17,171 5094,,10/23/17,,,,WA,11,3,,F,T,10-2,0,107,107,,JC,FW,FW,,,0.0,spore,vegetative,,,contaminted
117,11/28/17,171 5095,,10/23/17,,,,WA,11,3,,F,T,10-3,1,11,12,,JC,FW,FW,,,0.0,spore,vegetative,,,contaminted
119,11/28/17,171 5096,,10/23/17,,,,WA,11,3,,F,T,10-4,0,4,4,,JC,FW,FW,,,0.0,spore,vegetative,,,contaminted
121,11/28/17,174 5259,,10/23/17,,,,WA,11,4,,F,T,10-2,119,127,246,,KC,CK,FW,,,0.0,spore,vegetative,,,
123,11/28/17,174 5260,,10/23/17,,,,WA,11,4,,F,T,10-3,0,0,0,,KC,CK,FW,,,0.0,spore,vegetative,,,
125,11/28/17,174 5261,,10/23/17,,,,WA,11,4,,F,T,10-4,3,0,3,,KC,CK,FW,,,0.0,spore,vegetative,,,
127,11/28/17,174 5256,,10/23/17,,,,WA,11,5,,F,T,10-2,0,9,9,,KC,CK,FW,,,0.0,spore,vegetative,,,contaminated
129,11/28/17,174 5257,,10/23/17,,,,WA,11,5,,F,T,10-3,0,1,1,,KC,CK,FW,,,0.0,spore,vegetative,,,contaminated
131,11/28/17,174 5258,,10/23/17,,,,WA,11,5,,F,T,10-4,0,6,6,,KC,CK,FW,,,0.0,spore,vegetative,,,
133,11/28/17,174 5253,,10/23/17,,,,WA,11,6,,F,T,10-2,0,73,73,,KC,CK,FW,,,0.0,spore,vegetative,,,contaminated
135,11/28/17,174 5254,,10/23/17,,,,WA,11,6,,F,T,10-3,0,0,0,,KC,CK,FW,,,0.0,spore,vegetative,,,contaminated
137,11/28/17,174 5255,,10/23/17,,,,WA,11,6,,F,T,10-4,0,8,8,,KC,CK,FW,,,0.0,spore,vegetative,,,
139,2/20/18,175 5350,,10/23/17,,,,WA,11,1,,M,T,10-2,0,NC,#VALUE!,,HP,FW,FW,,,0.0,spore,vegetative,,,contaminated
141,2/20/18,175 5351,,10/23/17,,,,WA,11,1,,M,T,10-3,1,38,39,,HP,FW,FW,,,0.0,spore,vegetative,,,contaminated
143,2/20/18,175 5352,,10/23/17,,,,WA,11,1,,M,T,10-4,0,0,0,,HP,FW,FW,,,0.0,spore,vegetative,,,contaminated
145,2/20/18,175 5353,,10/23/17,,,,WA,11,2,,M,T,10-2,4,0,4,,HP,FW,FW,,,0.0,spore,vegetative,,,contaminated
147,2/20/18,175 5354,,10/23/17,,,,WA,11,2,,M,T,10-3,0,28,28,,HP,FW,FW,,,0.0,spore,vegetative,,,contaminated
149,2/20/18,175 5355,,10/23/17,,,,WA,11,2,,M,T,10-4,0,0,0,,HP,FW,FW,,,0.0,spore,vegetative,,,contaminated
151,2/20/18,175 5356,,10/23/17,,,,WA,11,3,,M,T,10-2,1,31,32,,HP,FW,FW,,,0.0,spore,vegetative,,,contaminated
153,2/20/18,175 5357,,10/23/17,,,,WA,11,3,,M,T,10-3,0,43,43,,HP,FW,FW,,,0.0,spore,vegetative,,,contaminated
155,2/20/18,175 5358,,10/23/17,,,,WA,11,3,,M,T,10-4,0,0,0,,HP,FW,FW,,,0.0,spore,vegetative,,,contaminated
157,11/28/17,171 5068,,10/23/17,,,,WA,11,4,,M,T,10-2,2,169,171,,JC,FW,FW,,,0.0,spore,vegetative,,,contaminated
159,11/28/17,171 5069,,10/23/17,,,,WA,11,4,,M,T,10-3,0,111,111,,JC,FW,FW,,,0.0,spore,vegetative,,,contaminated
161,11/28/17,171 5070,,10/23/17,,,,WA,11,4,,M,T,10-4,1,17,18,,JC,FW,FW,,,0.0,spore,vegetative,,,contaminated
163,11/28/17,171 5071,,10/23/17,,,,WA,11,5,,M,T,10-2,1,285,286,,JC,FW,FW,,,0.0,spore,vegetative,,,
165,11/28/17,171 5072,,10/23/17,,,,WA,11,5,,M,T,10-3,0,107,107,,JC,FW,FW,,,0.0,spore,vegetative,,,contaminated
167,11/28/17,171 5073,,10/23/17,,,,WA,11,5,,M,T,10-4,0,22,22,,JC,FW,FW,,,0.0,spore,vegetative,,,contaminated
169,11/28/17,171 5074,,10/23/17,,,,WA,11,6,,M,T,10-2,0,367,367,,JC,FW,FW,,,0.0,spore,vegetative,,,contaminated
171,11/28/17,171 5077,,10/23/17,,,,WA,11,6,,M,T,10-3,1,25,26,,JC,FW,FW,,,0.0,spore,vegetative,,,contaminated
173,11/28/17,171 5078,,10/23/17,,,,WA,11,6,,M,T,10-4,0,3,3,,JC,FW,FW,,,0.0,spore,vegetative,,,
175,2/20/18,175 5315,KL,10/23/17,,,,,11,1,,F,T,10-2,0,24,24,,KC,CK,KL,,,0.0,spore,vegetative,,,CONTAMINATED
177,2/20/18,175 5313,KL,10/23/17,,,,,11,1,,F,T,10-3,0,0,0,,KC,CK,KL,,,0.0,spore,vegetative,,,CONTAMINATED
179,2/20/18,175 5312,KL,10/23/17,,,,,11,1,,F,T,10-4,0,0,0,,KC,CK,KL,,,0.0,spore,vegetative,,,CONTAMINATED
181,2/20/18,175 5318,KL,10/23/17,,,,,11,2,,F,T,10-2,40,0,40,,KC,CK,KL,,,0.0,spore,vegetative,,,CONTAMINATED
183,2/20/18,175 5317,KL,10/23/17,,,,,11,2,,F,T,10-3,0,57,57,,KC,CK,KL,,,0.0,spore,vegetative,,,CONTAMINATED
185,2/20/18,175 5316,KL,10/23/17,,,,,11,2,,F,T,10-4,0,7,7,,KC,CK,KL,,,0.0,spore,vegetative,,,CONTAMINATED
187,2/20/18,175 5321,KL,10/23/17,,,,,11,3,,F,T,10-2,173,0,173,,KC,CK,KL,,,0.0,spore,vegetative,,,CONTAMINATED
189,2/20/18,175 5320,KL,10/23/17,,,,,11,3,,F,T,10-3,0,4,4,,KC,CK,KL,,,0.0,spore,vegetative,,,CONTAMINATED
191,2/20/18,175 5319,KL,10/23/17,,,,,11,3,,F,T,10-4,0,0,0,,KC,CK,KL,,,0.0,spore,vegetative,,,CONTAMINATED
193,11/28/17,171 5079,KL,10/23/17,,,,,11,4,,F,T,10-2,3,65,68,,JC,FW,KL,,,0.0,spore,vegetative,,,CONTAMINATED
195,11/28/17,171 5080,KL,10/23/17,,,,,11,4,,F,T,10-3,7,12,19,,JC,FW,KL,,,0.0,spore,vegetative,,,CONTAMINATED
197,11/28/17,171 5081,KL,10/23/17,,,,,11,4,,F,T,10-4,0,0,0,,JC,FW,KL,,,0.0,spore,vegetative,,,CONTAMINATED
199,11/28/17,171 5082,KL,10/23/17,,,,,11,5,,F,T,10-2,0,2,2,,JC,FW,KL,,,0.0,spore,vegetative,,,CONTAMINATED
201,11/28/17,171 5083,KL,10/23/17,,,,,11,5,,F,T,10-3,0,2,2,,JC,FW,KL,,,0.0,spore,vegetative,,,CONTAMINATED
203,11/28/17,171 5084,KL,10/23/17,,,,,11,5,,F,T,10-4,0,0,0,,JC,FW,KL,,,0.0,spore,vegetative,,,
205,11/28/17,171 5085,KL,10/23/17,,,,,11,6,,F,T,10-2,0,1,1,,JC,FW,KL,,,0.0,spore,vegetative,,,
207,11/28/17,171 5086,KL,10/23/17,,,,,11,6,,F,T,10-3,0,8,8,,JC,FW,KL,,,0.0,spore,vegetative,,,
209,11/28/17,171 5087,KL,10/23/17,,,,,11,6,,F,T,10-4,0,0,0,,JC,FW,KL,,,0.0,spore,vegetative,,,
211,2/20/18,175 5273,KL,10/23/17,,,,,11,1,,M,T,10-2,7,0,7,,KC,CK,KL,,,0.0,spore,vegetative,,,CONTAMINATED
213,2/20/18,175 5274,KL,10/23/17,,,,,11,1,,M,T,10-3,0,0,0,,KC,CK,KL,,,0.0,spore,vegetative,,,CONTAMINATED
215,2/20/18,175 5276,KL,10/23/17,,,,,11,1,,M,T,10-4,0,0,0,,KC,CK,KL,,,0.0,spore,vegetative,,,
217,2/20/18,175 5277,KL,10/23/17,,,,,11,2,,M,T,10-2,0,114,114,,KC,CK,KL,,,0.0,spore,vegetative,,,CONTAMINATED
219,2/20/18,175 5278,KL,10/23/17,,,,,11,2,,M,T,10-3,0,3,3,,KC,CK,KL,,,0.0,spore,vegetative,,,CONTAMINATED
221,2/20/18,175 5279,KL,10/23/17,,,,,11,2,,M,T,10-4,26,0,26,,KC,CK,KL,,,0.0,spore,vegetative,,,CONTAMINATED
223,2/20/18,175 5280,KL,10/23/17,,,,,11,3,,M,T,10-2,0,0,0,,KC,CK,KL,,,0.0,spore,vegetative,,,CONTAMINATED
225,2/20/18,175 5281,KL,10/23/17,,,,,11,3,,M,T,10-3,0,0,0,,KC,CK,KL,,,0.0,spore,vegetative,,,CONTAMINATED
227,2/20/18,175 5282,KL,10/23/17,,,,,11,3,,M,T,10-4,28,0,28,,KC,CK,KL,,,0.0,spore,vegetative,,,
229,2/20/18,175 5284,KL,10/23/17,,,,,11,4,,M,T,10-2,1,0,1,,KC,CK,KL,,,0.0,spore,vegetative,,,
231,2/20/18,175 5285,KL,10/23/17,,,,,11,4,,M,T,10-3,0,0,0,,KC,CK,KL,,,0.0,spore,vegetative,,,CONTAMINATED
233,2/20/18,175 5286,KL,10/23/17,,,,,11,4,,M,T,10-4,0,0,0,,KC,CK,KL,,,0.0,spore,vegetative,,,CONTAMINATED
235,2/20/18,175 5287,KL,10/23/17,,,,,11,5,,M,T,10-2,199,0,199,,KC,CK,KL,,,0.0,spore,vegetative,,,
237,2/20/18,175 5288,KL,10/23/17,,,,,11,5,,M,T,10-3,0,28,28,,KC,CK,KL,,,0.0,spore,vegetative,,,CONTAMINATED
239,2/20/18,175 5289,KL,10/23/17,,,,,11,5,,M,T,10-4,3,42,45,,KC,CK,KL,,,0.0,spore,vegetative,,,CONTAMINATED
241,2/20/18,175 5290,KL,10/23/17,,,,,11,6,,M,T,10-2,0,0,0,,KC,CK,KL,,,0.0,spore,vegetative,,,CONTAMINATED
243,2/20/18,175 5291,KL,10/23/17,,,,,11,6,,M,T,10-3,2,8,10,,KC,CK,KL,,,0.0,spore,vegetative,,,CONTAMINATED
245,2/20/18,175 5292,KL,10/23/17,,,,,11,6,,M,T,10-4,1,0,1,,KC,CK,KL,,,0.0,spore,vegetative,,,CONTAMINATED
247,2/15/18,174 5196,,10/23/17,,,,JS,11,1,,F,T,10-2,2,99,101,,FW,KL,KL,,,0.0,spore,vegetative,,,CONTAMINATED
249,2/15/18,174 5197,,10/23/17,,,,JS,11,1,,F,T,10-3,0,5,5,,FW,KL,KL,,,0.0,spore,vegetative,,,CONTAMINATED
251,2/15/18,174 5198,,10/23/17,,,,JS,11,1,,F,T,10-4,0,0,0,,FW,KL,KL,,,0.0,spore,vegetative,,,CONTAMINATED
253,2/15/18,174 5199,,10/23/17,,,,JS,11,2,,F,T,10-2,0,9,9,,FW,KL,KL,,,0.0,spore,vegetative,,,CONTAMINATED
255,2/15/18,174 5200,,10/23/17,,,,JS,11,2,,F,T,10-3,0,5,5,,FW,KL,KL,,,0.0,spore,vegetative,,,CONTAMINATED
257,2/15/18,174 5203,,10/23/17,,,,JS,11,2,,F,T,10-4,0,0,0,,FW,KL,KL,,,0.0,spore,vegetative,,,CONTAMINATED
259,2/15/18,174 5204,,10/23/17,,,,JS,11,3,,F,T,10-2,2,108,110,,FW,KL,KL,,,0.0,spore,vegetative,,,
261,2/15/18,174 5205,,10/23/17,,,,JS,11,3,,F,T,10-3,1,22,23,,FW,KL,FW,,,0.0,spore,vegetative,,,
263,2/15/18,174 5206,,10/23/17,,,,JS,11,3,,F,T,10-4,0,0,0,,FW,KL,FW,,,0.0,spore,vegetative,,,
265,2/20/18,175 5293,,10/23/17,,,,JS,11,4,,F,T,10-2,2,0,2,,CK,FW,FW,,,0.0,spore,vegetative,,,contaminated
267,2/20/18,175 5294,,10/23/17,,,,JS,11,4,,F,T,10-3,0,0,0,,CK,FW,FW,,,0.0,spore,vegetative,,,contaminated
269,2/20/18,175 5295,,10/23/17,,,,JS,11,4,,F,T,10-4,0,1,1,,CK,FW,FW,,,0.0,spore,vegetative,,,contaminated
271,2/20/18,175 5296,,10/23/17,,,,JS,11,5,,F,T,10-2,1,69,70,,CK,FW,FW,,,0.0,spore,vegetative,,,contaminated
273,2/20/18,175 5297,,10/23/17,,,,JS,11,5,,F,T,10-3,0,2,2,,CK,FW,FW,,,0.0,spore,vegetative,,,contaminated
275,2/20/18,175 5298,,10/23/17,,,,JS,11,5,,F,T,10-4,0,0,0,,CK,FW,FW,,,0.0,spore,vegetative,,,contaminated
277,2/20/18,175 5299,,10/23/17,,,,JS,11,6,,F,T,10-2,5,0,5,,CK,FW,FW,,,0.0,spore,vegetative,,,contaminated
279,2/20/18,175 5300,,10/23/17,,,,JS,11,6,,F,T,10-3,0,0,0,,CK,FW,FW,,,0.0,spore,vegetative,,,contaminated
281,2/20/18,175 5301,,10/23/17,,,,JS,11,6,,F,T,10-4,0,0,0,,CK,FW,FW,,,0.0,spore,vegetative,,,contaminated
283,2/20/18,175 5322,,10/23/17,,,,JS,11,1,,M,T,10-2,0,99,99,,UR,CK,FW,,,0.0,spore,vegetative,,,contaminated
285,2/20/18,175 5323,,10/23/17,,,,JS,11,1,,M,T,10-3,1,0,1,,UR,CK,FW,,,0.0,spore,vegetative,,,contaminated
287,2/20/18,175 5324,,10/23/17,,,,JS,11,1,,M,T,10-4,1,5,6,,UR,CK,FW,,,0.0,spore,vegetative,,,contaminated
289,2/20/18,175 5325,,10/23/17,,,,JS,11,2,,M,T,10-2,5,0,5,,UR,CK,FW,,,0.0,spore,vegetative,,,contaminated
291,2/20/18,175 5326,,10/23/17,,,,JS,11,2,,M,T,10-3,1,0,1,,UR,CK,FW,,,0.0,spore,vegetative,,,contaminated
293,2/20/18,175 5327,,10/23/17,,,,JS,11,2,,M,T,10-4,2,0,2,,UR,CK,FW,,,0.0,spore,vegetative,,,contaminated
295,2/20/18,175 5328,,10/23/17,,,,JS,11,3,,M,T,10-2,0,218,218,,UR,CK,FW,,,0.0,spore,vegetative,,,
297,2/20/18,175 5329,,10/23/17,,,,JS,11,3,,M,T,10-3,0,16,16,,UR,CK,FW,,,0.0,spore,vegetative,,,
299,,175 5330,,10/23/17,,,,JS,11,3,,M,T,10-4,1,13,14,,UR,CK,FW,,,0.0,spore,vegetative,,,contaminated
301,2/20/18,175 5303,,10/23/17,,,,JS,11,4,,M,T,10-2,NC,NC,#VALUE!,,TY,FW,FW,,,0.0,spore,vegetative,,,
